Date,Open,High,Low,Close,Volume
20/11/2013,0.009,0.009,0.009,0.009,0
21/11/2013,0.009,0.009,0.009,0.009,0
22/11/2013,0.009,0.009,0.009,0.009,0
25/11/2013,0.009,0.009,0.009,0.009,0
26/11/2013,0.009,0.009,0.009,0.009,0
27/11/2013,0.009,0.009,0.009,0.009,0
28/11/2013,0.009,0.009,0.009,0.009,0
29/11/2013,0.009,0.009,0.009,0.009,0
02/12/2013,0.009,0.009,0.009,0.009,0
03/12/2013,0.009,0.009,0.009,0.009,0
04/12/2013,0.009,0.009,0.009,0.009,0
05/12/2013,0.009,0.009,0.009,0.009,0
06/12/2013,0.009,0.009,0.009,0.009,0
09/12/2013,0.009,0.009,0.009,0.009,0
10/12/2013,0.009,0.009,0.009,0.009,0
11/12/2013,0.009,0.009,0.009,0.009,0
12/12/2013,0.009,0.009,0.009,0.009,0
13/12/2013,0.009,0.009,0.009,0.009,0
16/12/2013,0.009,0.009,0.009,0.009,0
17/12/2013,0.009,0.009,0.009,0.009,0
18/12/2013,0.009,0.009,0.009,0.009,0
19/12/2013,0.009,0.009,0.009,0.009,0
20/12/2013,0.009,0.009,0.009,0.009,0
23/12/2013,0.009,0.009,0.009,0.009,0
24/12/2013,0.009,0.009,0.009,0.009,0
27/12/2013,0.009,0.009,0.009,0.009,0
30/12/2013,0.009,0.009,0.009,0.009,0
31/12/2013,0.009,0.009,0.009,0.009,0
02/01/2014,0.009,0.009,0.009,0.009,0
03/01/2014,0.009,0.009,0.009,0.009,0
06/01/2014,0.009,0.009,0.009,0.009,0
07/01/2014,0.009,0.009,0.009,0.009,0
08/01/2014,0.009,0.009,0.009,0.009,0
09/01/2014,0.009,0.009,0.009,0.009,0
10/01/2014,0.009,0.009,0.009,0.009,0
13/01/2014,0.009,0.009,0.009,0.009,0
14/01/2014,0.009,0.009,0.009,0.009,0
15/01/2014,0.009,0.009,0.009,0.009,0
16/01/2014,0.009,0.009,0.009,0.009,0
17/01/2014,0.009,0.009,0.009,0.009,0
20/01/2014,0.009,0.009,0.009,0.009,0
21/01/2014,0.009,0.009,0.009,0.009,0
22/01/2014,0.009,0.009,0.009,0.009,0
23/01/2014,0.009,0.009,0.009,0.009,0
24/01/2014,0.009,0.009,0.009,0.009,0
28/01/2014,0.009,0.009,0.009,0.009,0
29/01/2014,0.009,0.009,0.009,0.009,0
30/01/2014,0.009,0.009,0.009,0.009,0
31/01/2014,0.009,0.009,0.009,0.009,0
03/02/2014,0.009,0.009,0.009,0.009,0
04/02/2014,0.009,0.009,0.009,0.009,0
05/02/2014,0.009,0.009,0.009,0.009,0
06/02/2014,0.009,0.009,0.009,0.009,0
07/02/2014,0.009,0.009,0.009,0.009,0
10/02/2014,0.009,0.009,0.009,0.009,0
11/02/2014,0.009,0.009,0.009,0.009,0
12/02/2014,0.009,0.009,0.009,0.009,0
13/02/2014,0.009,0.009,0.009,0.009,0
14/02/2014,0.009,0.009,0.009,0.009,0
17/02/2014,0.009,0.009,0.009,0.009,0
18/02/2014,0.009,0.009,0.009,0.009,40000
19/02/2014,0.009,0.009,0.009,0.009,0
20/02/2014,0.009,0.009,0.009,0.009,0
21/02/2014,0.009,0.009,0.009,0.009,0
24/02/2014,0.009,0.009,0.009,0.009,0
25/02/2014,0.009,0.009,0.009,0.009,375000
26/02/2014,0.009,0.009,0.009,0.009,0
27/02/2014,0.009,0.009,0.009,0.009,0
28/02/2014,0.009,0.009,0.009,0.009,0
03/03/2014,0.009,0.009,0.009,0.009,0
04/03/2014,0.009,0.009,0.009,0.009,0
05/03/2014,0.009,0.009,0.009,0.009,0
06/03/2014,0.009,0.009,0.009,0.009,0
07/03/2014,0.009,0.009,0.009,0.009,0
10/03/2014,0.006,0.006,0.006,0.006,45000
11/03/2014,0.006,0.006,0.006,0.006,0
12/03/2014,0.006,0.006,0.006,0.006,0
13/03/2014,0.006,0.006,0.006,0.006,0
14/03/2014,0.006,0.006,0.006,0.006,0
17/03/2014,0.006,0.006,0.006,0.006,0
18/03/2014,0.006,0.006,0.006,0.006,0
19/03/2014,0.006,0.006,0.006,0.006,0
20/03/2014,0.006,0.006,0.006,0.006,0
21/03/2014,0.006,0.006,0.006,0.006,0
24/03/2014,0.006,0.006,0.006,0.006,0
25/03/2014,0.006,0.006,0.006,0.006,0
26/03/2014,0.006,0.006,0.006,0.006,0
27/03/2014,0.006,0.006,0.006,0.006,0
28/03/2014,0.006,0.006,0.006,0.006,0
31/03/2014,0.006,0.006,0.006,0.006,0
01/04/2014,0.006,0.006,0.006,0.006,0
02/04/2014,0.006,0.006,0.006,0.006,0
03/04/2014,0.006,0.006,0.006,0.006,0
04/04/2014,0.006,0.006,0.006,0.006,0
07/04/2014,0.006,0.006,0.006,0.006,0
08/04/2014,0.006,0.006,0.006,0.006,0
09/04/2014,0.006,0.006,0.006,0.006,0
10/04/2014,0.006,0.006,0.006,0.006,0
11/04/2014,0.006,0.006,0.006,0.006,0
14/04/2014,0.006,0.006,0.006,0.006,0
15/04/2014,0.006,0.006,0.006,0.006,0
16/04/2014,0.006,0.006,0.006,0.006,0
17/04/2014,0.006,0.006,0.006,0.006,0
22/04/2014,0.006,0.006,0.006,0.006,0
23/04/2014,0.008,0.008,0.006,0.006,161250
24/04/2014,0.006,0.006,0.006,0.006,0
28/04/2014,0.006,0.006,0.006,0.006,0
29/04/2014,0.006,0.006,0.006,0.006,0
30/04/2014,0.006,0.006,0.006,0.006,0
01/05/2014,0.006,0.006,0.006,0.006,0
02/05/2014,0.006,0.006,0.006,0.006,77737
05/05/2014,0.006,0.006,0.006,0.006,0
06/05/2014,0.006,0.006,0.006,0.006,0
07/05/2014,0.006,0.006,0.006,0.006,0
08/05/2014,0.006,0.006,0.006,0.006,0
09/05/2014,0.006,0.006,0.006,0.006,0
12/05/2014,0.006,0.006,0.006,0.006,0
13/05/2014,0.006,0.006,0.006,0.006,0
14/05/2014,0.006,0.006,0.006,0.006,0
15/05/2014,0.006,0.006,0.006,0.006,0
16/05/2014,0.006,0.006,0.006,0.006,0
19/05/2014,0.006,0.006,0.006,0.006,0
20/05/2014,0.006,0.006,0.006,0.006,0
21/05/2014,0.006,0.006,0.006,0.006,0
22/05/2014,0.006,0.006,0.006,0.006,0
23/05/2014,0.006,0.006,0.006,0.006,0
26/05/2014,0.006,0.006,0.006,0.006,0
27/05/2014,0.005,0.005,0.005,0.005,3000000
28/05/2014,0.005,0.005,0.005,0.005,0
29/05/2014,0.005,0.005,0.005,0.005,0
30/05/2014,0.005,0.005,0.005,0.005,0
02/06/2014,0.005,0.005,0.005,0.005,0
03/06/2014,0.005,0.005,0.005,0.005,0
04/06/2014,0.005,0.005,0.005,0.005,0
05/06/2014,0.005,0.005,0.005,0.005,0
06/06/2014,0.003,0.003,0.003,0.003,30000
10/06/2014,0.003,0.003,0.003,0.003,175000
11/06/2014,0.003,0.003,0.003,0.003,0
12/06/2014,0.003,0.003,0.003,0.003,0
13/06/2014,0.003,0.003,0.003,0.003,200000
16/06/2014,0.003,0.003,0.003,0.003,0
17/06/2014,0.003,0.003,0.003,0.003,0
18/06/2014,0.003,0.003,0.003,0.003,100000
19/06/2014,0.003,0.003,0.003,0.003,0
20/06/2014,0.004,0.004,0.003,0.003,100000
23/06/2014,0.003,0.004,0.003,0.004,19000
24/06/2014,0.004,0.004,0.004,0.004,50000
25/06/2014,0.004,0.004,0.004,0.004,20000
26/06/2014,0.004,0.004,0.004,0.004,0
27/06/2014,0.004,0.004,0.004,0.004,25000
30/06/2014,0.004,0.004,0.004,0.004,0
01/07/2014,0.004,0.004,0.004,0.004,0
02/07/2014,0.004,0.004,0.004,0.004,0
03/07/2014,0.004,0.004,0.004,0.004,0
04/07/2014,0.004,0.004,0.004,0.004,0
07/07/2014,0.004,0.004,0.004,0.004,0
08/07/2014,0.004,0.004,0.004,0.004,0
09/07/2014,0.004,0.004,0.004,0.004,0
10/07/2014,0.004,0.004,0.004,0.004,0
11/07/2014,0.004,0.004,0.004,0.004,0
14/07/2014,0.004,0.004,0.004,0.004,0
15/07/2014,0.004,0.004,0.004,0.004,0
16/07/2014,0.006,0.006,0.006,0.006,22263
17/07/2014,0.006,0.006,0.006,0.006,199950
18/07/2014,0.006,0.006,0.006,0.006,0
21/07/2014,0.006,0.006,0.006,0.006,0
22/07/2014,0.006,0.006,0.006,0.006,0
23/07/2014,0.006,0.006,0.006,0.006,316050
24/07/2014,0.006,0.006,0.006,0.006,0
25/07/2014,0.006,0.006,0.006,0.006,0
28/07/2014,0.006,0.006,0.006,0.006,0
29/07/2014,0.006,0.006,0.006,0.006,0
30/07/2014,0.006,0.006,0.006,0.006,0
31/07/2014,0.006,0.006,0.006,0.006,0
01/08/2014,0.008,0.008,0.008,0.008,88222
04/08/2014,0.008,0.008,0.008,0.008,0
05/08/2014,0.008,0.008,0.008,0.008,0
06/08/2014,0.008,0.008,0.008,0.008,0
07/08/2014,0.008,0.008,0.008,0.008,0
08/08/2014,0.008,0.008,0.008,0.008,0
11/08/2014,0.008,0.008,0.008,0.008,0
12/08/2014,0.008,0.008,0.008,0.008,0
13/08/2014,0.008,0.008,0.008,0.008,0
14/08/2014,0.008,0.008,0.008,0.008,0
15/08/2014,0.008,0.008,0.008,0.008,0
18/08/2014,0.008,0.008,0.008,0.008,0
19/08/2014,0.008,0.008,0.008,0.008,0
20/08/2014,0.008,0.008,0.008,0.008,0
21/08/2014,0.008,0.008,0.008,0.008,0
22/08/2014,0.008,0.008,0.008,0.008,0
25/08/2014,0.008,0.008,0.008,0.008,38263
26/08/2014,0.008,0.008,0.008,0.008,0
27/08/2014,0.008,0.008,0.008,0.008,0
28/08/2014,0.009,0.009,0.008,0.008,210000
29/08/2014,0.008,0.008,0.008,0.008,0
01/09/2014,0.008,0.008,0.008,0.008,0
02/09/2014,0.008,0.008,0.008,0.008,0
03/09/2014,0.008,0.008,0.008,0.008,0
04/09/2014,0.008,0.008,0.008,0.008,0
05/09/2014,0.008,0.008,0.008,0.008,0
08/09/2014,0.008,0.008,0.008,0.008,0
09/09/2014,0.008,0.008,0.008,0.008,0
10/09/2014,0.008,0.008,0.008,0.008,0
11/09/2014,0.008,0.008,0.008,0.008,0
12/09/2014,0.008,0.008,0.008,0.008,0
15/09/2014,0.008,0.008,0.008,0.008,125000
16/09/2014,0.008,0.008,0.008,0.008,0
17/09/2014,0.008,0.008,0.008,0.008,0
18/09/2014,0.008,0.008,0.008,0.008,0
19/09/2014,0.008,0.008,0.008,0.008,0
22/09/2014,0.008,0.008,0.008,0.008,0
23/09/2014,0.008,0.008,0.008,0.008,0
24/09/2014,0.008,0.008,0.008,0.008,0
25/09/2014,0.008,0.008,0.008,0.008,0
26/09/2014,0.008,0.008,0.008,0.008,0
29/09/2014,0.008,0.008,0.008,0.008,0
30/09/2014,0.008,0.008,0.008,0.008,0
01/10/2014,0.008,0.008,0.008,0.008,0
02/10/2014,0.008,0.008,0.008,0.008,0
03/10/2014,0.008,0.008,0.008,0.008,0
06/10/2014,0.008,0.008,0.008,0.008,0
07/10/2014,0.008,0.008,0.008,0.008,0
08/10/2014,0.008,0.008,0.008,0.008,0
09/10/2014,0.008,0.008,0.008,0.008,0
10/10/2014,0.008,0.008,0.008,0.008,0
13/10/2014,0.008,0.008,0.008,0.008,0
14/10/2014,0.008,0.008,0.008,0.008,0
15/10/2014,0.008,0.008,0.008,0.008,0
16/10/2014,0.008,0.008,0.008,0.008,0
17/10/2014,0.008,0.008,0.008,0.008,0
20/10/2014,0.008,0.008,0.008,0.008,0
21/10/2014,0.008,0.008,0.008,0.008,0
22/10/2014,0.008,0.008,0.008,0.008,0
23/10/2014,0.008,0.008,0.008,0.008,0
24/10/2014,0.008,0.008,0.008,0.008,0
27/10/2014,0.008,0.008,0.008,0.008,0
28/10/2014,0.008,0.008,0.008,0.008,0
29/10/2014,0.008,0.008,0.008,0.008,0
30/10/2014,0.008,0.008,0.008,0.008,0
31/10/2014,0.008,0.008,0.008,0.008,0
03/11/2014,0.008,0.008,0.008,0.008,0
04/11/2014,0.008,0.008,0.008,0.008,0
05/11/2014,0.008,0.008,0.008,0.008,0
06/11/2014,0.008,0.008,0.008,0.008,0
07/11/2014,0.008,0.008,0.008,0.008,0
10/11/2014,0.008,0.008,0.008,0.008,0
11/11/2014,0.008,0.008,0.008,0.008,0
12/11/2014,0.008,0.008,0.008,0.008,0
13/11/2014,0.008,0.008,0.008,0.008,0
14/11/2014,0.008,0.008,0.008,0.008,400000
17/11/2014,0.008,0.008,0.008,0.008,0
18/11/2014,0.008,0.008,0.008,0.008,0
19/11/2014,0.008,0.008,0.008,0.008,0
20/11/2014,0.008,0.008,0.008,0.008,0
21/11/2014,0.008,0.008,0.008,0.008,0
24/11/2014,0.008,0.008,0.008,0.008,0
25/11/2014,0.008,0.008,0.008,0.008,0
26/11/2014,0.008,0.008,0.008,0.008,0
27/11/2014,0.008,0.008,0.008,0.008,0
28/11/2014,0.008,0.008,0.008,0.008,0
01/12/2014,0.008,0.008,0.008,0.008,0
02/12/2014,0.008,0.008,0.008,0.008,0
03/12/2014,0.008,0.008,0.008,0.008,0
04/12/2014,0.008,0.008,0.008,0.008,0
05/12/2014,0.008,0.008,0.008,0.008,0
08/12/2014,0.008,0.008,0.008,0.008,0
09/12/2014,0.008,0.008,0.008,0.008,0
10/12/2014,0.008,0.008,0.008,0.008,0
11/12/2014,0.008,0.008,0.008,0.008,0
12/12/2014,0.008,0.008,0.008,0.008,0
15/12/2014,0.008,0.008,0.008,0.008,0
16/12/2014,0.008,0.008,0.008,0.008,0
17/12/2014,0.008,0.008,0.008,0.008,0
18/12/2014,0.008,0.008,0.008,0.008,0
19/12/2014,0.008,0.008,0.008,0.008,0
22/12/2014,0.008,0.008,0.008,0.008,0
23/12/2014,0.008,0.008,0.008,0.008,0
24/12/2014,0.008,0.008,0.008,0.008,0
29/12/2014,0.008,0.008,0.008,0.008,0
30/12/2014,0.008,0.008,0.008,0.008,0
31/12/2014,0.008,0.008,0.008,0.008,0
02/01/2015,0.008,0.008,0.008,0.008,0
05/01/2015,0.008,0.008,0.008,0.008,0
06/01/2015,0.008,0.008,0.008,0.008,0
07/01/2015,0.008,0.008,0.008,0.008,0
08/01/2015,0.008,0.008,0.008,0.008,0
09/01/2015,0.008,0.008,0.008,0.008,0
12/01/2015,0.008,0.008,0.008,0.008,0
13/01/2015,0.008,0.008,0.008,0.008,0
14/01/2015,0.008,0.008,0.008,0.008,0
15/01/2015,0.008,0.008,0.008,0.008,0
16/01/2015,0.008,0.008,0.008,0.008,0
19/01/2015,0.008,0.008,0.008,0.008,0
20/01/2015,0.008,0.008,0.008,0.008,0
21/01/2015,0.008,0.008,0.008,0.008,0
22/01/2015,0.008,0.008,0.008,0.008,0
23/01/2015,0.008,0.008,0.008,0.008,0
27/01/2015,0.008,0.008,0.008,0.008,0
28/01/2015,0.008,0.008,0.008,0.008,0
29/01/2015,0.008,0.008,0.008,0.008,0
30/01/2015,0.008,0.008,0.008,0.008,0
02/02/2015,0.008,0.008,0.008,0.008,0
03/02/2015,0.002,0.006,0.002,0.006,850000
04/02/2015,0.006,0.006,0.006,0.006,0
05/02/2015,0.006,0.006,0.006,0.006,0
06/02/2015,0.006,0.006,0.006,0.006,0
09/02/2015,0.006,0.006,0.006,0.006,0
10/02/2015,0.006,0.006,0.006,0.006,0
11/02/2015,0.006,0.006,0.006,0.006,0
12/02/2015,0.006,0.006,0.006,0.006,0
13/02/2015,0.006,0.006,0.006,0.006,0
16/02/2015,0.006,0.006,0.006,0.006,0
17/02/2015,0.006,0.006,0.006,0.006,0
18/02/2015,0.006,0.006,0.006,0.006,0
19/02/2015,0.002,0.002,0.002,0.002,20000
20/02/2015,0.002,0.002,0.002,0.002,0
23/02/2015,0.002,0.002,0.002,0.002,0
24/02/2015,0.002,0.002,0.002,0.002,0
25/02/2015,0.002,0.002,0.002,0.002,0
26/02/2015,0.002,0.002,0.002,0.002,0
27/02/2015,0.002,0.002,0.002,0.002,0
02/03/2015,0.002,0.002,0.002,0.002,0
03/03/2015,0.002,0.002,0.002,0.002,0
04/03/2015,0.002,0.002,0.002,0.002,0
05/03/2015,0.002,0.002,0.002,0.002,0
06/03/2015,0.002,0.002,0.002,0.002,0
09/03/2015,0.002,0.002,0.002,0.002,0
10/03/2015,0.002,0.002,0.002,0.002,0
11/03/2015,0.002,0.002,0.002,0.002,0
12/03/2015,0.002,0.002,0.002,0.002,0
13/03/2015,0.002,0.002,0.002,0.002,0
16/03/2015,0.002,0.002,0.002,0.002,0
17/03/2015,0.002,0.002,0.002,0.002,562500
18/03/2015,0.002,0.002,0.002,0.002,0
19/03/2015,0.002,0.002,0.002,0.002,0
20/03/2015,0.002,0.002,0.002,0.002,0
23/03/2015,0.002,0.002,0.002,0.002,0
24/03/2015,0.002,0.002,0.002,0.002,0
25/03/2015,0.002,0.002,0.002,0.002,0
26/03/2015,0.003,0.003,0.003,0.003,37000
27/03/2015,0.003,0.003,0.003,0.003,0
30/03/2015,0.003,0.003,0.003,0.003,562500
31/03/2015,0.003,0.003,0.003,0.003,200000
01/04/2015,0.003,0.003,0.003,0.003,0
02/04/2015,0.003,0.003,0.003,0.003,0
07/04/2015,0.003,0.003,0.003,0.003,0
08/04/2015,0.003,0.003,0.003,0.003,0
09/04/2015,0.003,0.003,0.003,0.003,0
10/04/2015,0.003,0.003,0.003,0.003,0
13/04/2015,0.003,0.003,0.003,0.003,0
14/04/2015,0.002,0.002,0.002,0.002,7000
15/04/2015,0.002,0.002,0.002,0.002,0
16/04/2015,0.002,0.002,0.002,0.002,0
17/04/2015,0.002,0.002,0.002,0.002,0
20/04/2015,0.002,0.002,0.002,0.002,0
21/04/2015,0.003,0.003,0.003,0.003,300000
22/04/2015,0.003,0.003,0.003,0.003,0
23/04/2015,0.003,0.003,0.003,0.003,0
24/04/2015,0.003,0.003,0.003,0.003,0
27/04/2015,0.003,0.003,0.003,0.003,0
28/04/2015,0.003,0.003,0.003,0.003,0
29/04/2015,0.003,0.003,0.003,0.003,0
30/04/2015,0.003,0.003,0.003,0.003,0
01/05/2015,0.003,0.003,0.003,0.003,0
04/05/2015,0.003,0.003,0.003,0.003,0
05/05/2015,0.003,0.003,0.003,0.003,0
06/05/2015,0.003,0.003,0.003,0.003,0
07/05/2015,0.003,0.003,0.003,0.003,0
08/05/2015,0.003,0.003,0.003,0.003,0
11/05/2015,0.003,0.003,0.003,0.003,0
12/05/2015,0.003,0.003,0.003,0.003,0
13/05/2015,0.003,0.003,0.003,0.003,0
14/05/2015,0.003,0.003,0.003,0.003,0
15/05/2015,0.003,0.003,0.003,0.003,0
18/05/2015,0.003,0.003,0.003,0.003,0
19/05/2015,0.003,0.003,0.003,0.003,0
20/05/2015,0.002,0.002,0.002,0.002,400000
21/05/2015,0.002,0.002,0.002,0.002,0
22/05/2015,0.002,0.002,0.002,0.002,0
25/05/2015,0.002,0.002,0.002,0.002,0
26/05/2015,0.003,0.003,0.003,0.003,558222
27/05/2015,0.003,0.003,0.003,0.003,0
28/05/2015,0.003,0.003,0.003,0.003,0
29/05/2015,0.002,0.002,0.002,0.002,40000
01/06/2015,0.002,0.002,0.002,0.002,0
02/06/2015,0.002,0.002,0.002,0.002,0
03/06/2015,0.002,0.002,0.002,0.002,0
04/06/2015,0.002,0.002,0.002,0.002,0
05/06/2015,0.002,0.002,0.002,0.002,0
09/06/2015,0.002,0.002,0.002,0.002,0
10/06/2015,0.002,0.002,0.002,0.002,0
11/06/2015,0.002,0.002,0.002,0.002,0
12/06/2015,0.002,0.002,0.002,0.002,0
15/06/2015,0.002,0.002,0.002,0.002,0
16/06/2015,0.002,0.002,0.002,0.002,0
17/06/2015,0.002,0.002,0.002,0.002,0
18/06/2015,0.002,0.002,0.002,0.002,0
19/06/2015,0.002,0.002,0.002,0.002,0
22/06/2015,0.002,0.002,0.002,0.002,0
23/06/2015,0.002,0.002,0.002,0.002,0
24/06/2015,0.002,0.002,0.002,0.002,0
25/06/2015,0.002,0.002,0.002,0.002,0
26/06/2015,0.001,0.001,0.001,0.001,281250
29/06/2015,0.001,0.001,0.001,0.001,0
30/06/2015,0.001,0.001,0.001,0.001,4356250
01/07/2015,0.001,0.001,0.001,0.001,0
02/07/2015,0.001,0.001,0.001,0.001,0
03/07/2015,0.001,0.001,0.001,0.001,0
06/07/2015,0.001,0.001,0.001,0.001,0
07/07/2015,0.001,0.001,0.001,0.001,0
08/07/2015,0.001,0.001,0.001,0.001,0
09/07/2015,0.002,0.002,0.002,0.002,250000
10/07/2015,0.002,0.002,0.002,0.002,0
13/07/2015,0.002,0.002,0.002,0.002,0
14/07/2015,0.002,0.002,0.002,0.002,0
15/07/2015,0.002,0.002,0.002,0.002,0
16/07/2015,0.002,0.002,0.002,0.002,0
17/07/2015,0.002,0.002,0.002,0.002,0
20/07/2015,0.002,0.002,0.002,0.002,0
21/07/2015,0.002,0.002,0.002,0.002,0
22/07/2015,0.002,0.002,0.002,0.002,0
23/07/2015,0.002,0.002,0.002,0.002,0
24/07/2015,0.002,0.002,0.002,0.002,0
27/07/2015,0.002,0.002,0.002,0.002,0
28/07/2015,0.002,0.002,0.002,0.002,0
29/07/2015,0.002,0.002,0.002,0.002,0
30/07/2015,0.002,0.002,0.002,0.002,0
31/07/2015,0.002,0.002,0.002,0.002,0
03/08/2015,0.001,0.001,0.001,0.001,10000
04/08/2015,0.001,0.001,0.001,0.001,0
05/08/2015,0.001,0.001,0.001,0.001,0
06/08/2015,0.001,0.001,0.001,0.001,0
07/08/2015,0.001,0.001,0.001,0.001,0
10/08/2015,0.001,0.001,0.001,0.001,0
11/08/2015,0.001,0.001,0.001,0.001,0
12/08/2015,0.001,0.001,0.001,0.001,0
13/08/2015,0.001,0.001,0.001,0.001,0
14/08/2015,0.001,0.001,0.001,0.001,0
17/08/2015,0.001,0.001,0.001,0.001,0
18/08/2015,0.001,0.001,0.001,0.001,0
19/08/2015,0.001,0.001,0.001,0.001,0
20/08/2015,0.001,0.001,0.001,0.001,0
21/08/2015,0.001,0.001,0.001,0.001,0
24/08/2015,0.001,0.001,0.001,0.001,0
25/08/2015,0.001,0.001,0.001,0.001,0
26/08/2015,0.001,0.001,0.001,0.001,0
27/08/2015,0.001,0.001,0.001,0.001,0
28/08/2015,0.001,0.001,0.001,0.001,0
31/08/2015,0.001,0.001,0.001,0.001,0
01/09/2015,0.001,0.001,0.001,0.001,1000000
02/09/2015,0.001,0.001,0.001,0.001,1125000
03/09/2015,0.001,0.001,0.001,0.001,0
04/09/2015,0.001,0.001,0.001,0.001,0
07/09/2015,0.001,0.001,0.001,0.001,0
08/09/2015,0.001,0.001,0.001,0.001,0
09/09/2015,0.001,0.001,0.001,0.001,0
10/09/2015,0.001,0.001,0.001,0.001,0
11/09/2015,0.001,0.001,0.001,0.001,0
14/09/2015,0.001,0.001,0.001,0.001,0
15/09/2015,0.001,0.001,0.001,0.001,0
16/09/2015,0.001,0.001,0.001,0.001,0
17/09/2015,0.002,0.002,0.002,0.002,2566500
18/09/2015,0.002,0.002,0.002,0.002,0
21/09/2015,0.002,0.002,0.002,0.002,0
22/09/2015,0.002,0.002,0.002,0.002,0
23/09/2015,0.002,0.002,0.002,0.002,0
24/09/2015,0.002,0.002,0.002,0.002,0
25/09/2015,0.002,0.002,0.002,0.002,0
28/09/2015,0.002,0.002,0.002,0.002,0
29/09/2015,0.001,0.001,0.001,0.001,10000
30/09/2015,0.001,0.001,0.001,0.001,0
01/10/2015,0.001,0.001,0.001,0.001,0
02/10/2015,0.001,0.001,0.001,0.001,0
05/10/2015,0.001,0.001,0.001,0.001,0
06/10/2015,0.001,0.001,0.001,0.001,0
07/10/2015,0.001,0.001,0.001,0.001,0
08/10/2015,0.001,0.001,0.001,0.001,0
09/10/2015,0.001,0.001,0.001,0.001,0
12/10/2015,0.001,0.001,0.001,0.001,0
13/10/2015,0.001,0.001,0.001,0.001,0
14/10/2015,0.001,0.001,0.001,0.001,0
15/10/2015,0.001,0.001,0.001,0.001,0
16/10/2015,0.001,0.001,0.001,0.001,0
19/10/2015,0.001,0.001,0.001,0.001,0
20/10/2015,0.001,0.001,0.001,0.001,0
21/10/2015,0.001,0.001,0.001,0.001,0
22/10/2015,0.001,0.001,0.001,0.001,0
23/10/2015,0.001,0.001,0.001,0.001,0
26/10/2015,0.001,0.001,0.001,0.001,0
27/10/2015,0.001,0.001,0.001,0.001,0
28/10/2015,0.001,0.001,0.001,0.001,0
29/10/2015,0.001,0.001,0.001,0.001,0
30/10/2015,0.001,0.001,0.001,0.001,0
02/11/2015,0.001,0.001,0.001,0.001,0
03/11/2015,0.001,0.001,0.001,0.001,0
04/11/2015,0.001,0.001,0.001,0.001,0
05/11/2015,0.001,0.001,0.001,0.001,0
06/11/2015,0.001,0.001,0.001,0.001,0
09/11/2015,0.001,0.001,0.001,0.001,0
10/11/2015,0.001,0.001,0.001,0.001,0
11/11/2015,0.001,0.001,0.001,0.001,0
12/11/2015,0.001,0.001,0.001,0.001,0
13/11/2015,0.001,0.001,0.001,0.001,0
16/11/2015,0.001,0.001,0.001,0.001,0
17/11/2015,0.001,0.001,0.001,0.001,0
18/11/2015,0.001,0.001,0.001,0.001,0
19/11/2015,0.001,0.001,0.001,0.001,0
20/11/2015,0.001,0.001,0.001,0.001,0
23/11/2015,0.001,0.001,0.001,0.001,0
24/11/2015,0.001,0.001,0.001,0.001,0
25/11/2015,0.001,0.001,0.001,0.001,0
26/11/2015,0.001,0.001,0.001,0.001,0
27/11/2015,0.001,0.001,0.001,0.001,0
30/11/2015,0.001,0.001,0.001,0.001,0
01/12/2015,0.001,0.001,0.001,0.001,0
02/12/2015,0.001,0.001,0.001,0.001,0
03/12/2015,0.001,0.001,0.001,0.001,0
04/12/2015,0.001,0.001,0.001,0.001,0
07/12/2015,0.001,0.001,0.001,0.001,0
08/12/2015,0.001,0.001,0.001,0.001,0
09/12/2015,0.001,0.001,0.001,0.001,0
10/12/2015,0.001,0.001,0.001,0.001,0
11/12/2015,0.001,0.001,0.001,0.001,0
14/12/2015,0.001,0.001,0.001,0.001,0
15/12/2015,0.001,0.001,0.001,0.001,0
16/12/2015,0.001,0.001,0.001,0.001,0
17/12/2015,0.001,0.001,0.001,0.001,0
18/12/2015,0.001,0.001,0.001,0.001,0
21/12/2015,0.001,0.001,0.001,0.001,0
22/12/2015,0.001,0.001,0.001,0.001,0
23/12/2015,0.001,0.001,0.001,0.001,0
24/12/2015,0.001,0.001,0.001,0.001,0
29/12/2015,0.001,0.001,0.001,0.001,0
30/12/2015,0.001,0.001,0.001,0.001,0
31/12/2015,0.001,0.001,0.001,0.001,0
04/01/2016,0.001,0.001,0.001,0.001,0
05/01/2016,0.001,0.001,0.001,0.001,0
06/01/2016,0.001,0.001,0.001,0.001,0
07/01/2016,0.001,0.001,0.001,0.001,0
08/01/2016,0.001,0.001,0.001,0.001,0
11/01/2016,0.001,0.001,0.001,0.001,0
12/01/2016,0.001,0.001,0.001,0.001,0
13/01/2016,0.001,0.001,0.001,0.001,0
14/01/2016,0.001,0.001,0.001,0.001,0
15/01/2016,0.001,0.001,0.001,0.001,0
18/01/2016,0.001,0.001,0.001,0.001,0
19/01/2016,0.001,0.001,0.001,0.001,0
20/01/2016,0.001,0.001,0.001,0.001,0
21/01/2016,0.001,0.001,0.001,0.001,0
22/01/2016,0.003,0.003,0.003,0.003,1088000
25/01/2016,0.003,0.003,0.003,0.003,0
27/01/2016,0.003,0.003,0.003,0.003,0
28/01/2016,0.003,0.003,0.003,0.003,0
29/01/2016,0.003,0.003,0.003,0.003,0
01/02/2016,0.003,0.003,0.003,0.003,0
02/02/2016,0.003,0.003,0.003,0.003,0
03/02/2016,0.003,0.003,0.003,0.003,0
